Country name,Region,happy,upperwhisker,lowerwhisker,GDP_capita_logged,Social_support,Life_expectancy,Freedom,Generosity,Coruption,Dystopia + residual,Region_2,Europe,Middle_East,Australia,South_America,North_America,Asia,Africa,cluster
Thailand,Southeast Asia,5.976,6.094,5.858,1.484,1.347,0.62,0.756,0.283,0.024,1.463,Asia,0,0,0,0,0,1,0,1
Indonesia,Southeast Asia,5.568,5.67,5.466,1.361,1.184,0.472,0.779,0.399,0.055,1.318,Asia,0,0,0,0,0,1,0,1
Pakistan,South Asia,4.657,4.779,4.535,1.069,0.6,0.321,0.542,0.144,0.074,1.907,Asia,0,0,0,0,0,1,0,0
Laos,Southeast Asia,5.139,5.261,5.017,1.208,0.846,0.423,0.796,0.17,0.167,1.529,Asia,0,0,0,0,0,1,0,0
Japan,East Asia,6.06,6.144,5.976,1.786,1.354,0.785,0.632,0.023,0.219,1.261,Asia,0,0,0,0,0,1,0,1
Nepal,South Asia,5.158,5.29,5.027,0.965,0.99,0.443,0.653,0.209,0.115,1.783,Asia,0,0,0,0,0,1,0,0
Mongolia,East Asia,5.696,5.783,5.61,1.353,1.511,0.4,0.501,0.237,0.055,1.64,Asia,0,0,0,0,0,1,0,1
Taiwan Province of China,East Asia,6.503,6.597,6.41,1.842,1.346,0.65,0.649,0.068,0.202,1.747,Asia,0,0,0,0,0,1,0,1
Hong Kong S.A.R. of China,East Asia,5.316,5.403,5.229,1.909,1.184,0.857,0.485,0.147,0.402,0.333,Asia,0,0,0,0,0,1,0,1
Vietnam,Southeast Asia,6.043,6.138,5.948,1.331,1.267,0.539,0.843,0.094,0.16,1.81,Asia,0,0,0,0,0,1,0,1
Cambodia,Southeast Asia,4.341,4.446,4.236,1.011,1.019,0.442,0.863,0.17,0.071,0.765,Asia,0,0,0,0,0,1,0,0
Sri Lanka,South Asia,3.898,4.018,3.778,1.361,1.179,0.586,0.583,0.144,0.031,0.014,Asia,0,0,0,0,0,1,0,1
South Korea,East Asia,6.058,6.148,5.968,1.815,1.178,0.77,0.555,0.126,0.158,1.456,Asia,0,0,0,0,0,1,0,1
India,South Asia,4.054,4.123,3.985,1.166,0.653,0.417,0.767,0.174,0.122,0.756,Asia,0,0,0,0,0,1,0,0
Myanmar,Southeast Asia,4.354,4.501,4.208,0.978,0.988,0.436,0.45,0.401,0.174,0.928,Asia,0,0,0,0,0,1,0,0
Singapore,Southeast Asia,6.523,6.605,6.44,2.118,1.361,0.769,0.743,0.168,0.575,0.788,Asia,0,0,0,0,0,1,0,1
Philippines,Southeast Asia,6.048,6.166,5.929,1.232,1.146,0.441,0.826,0.099,0.136,2.167,Asia,0,0,0,0,0,1,0,1
Australia,North America and ANZ,7.057,7.141,6.973,1.854,1.461,0.692,0.756,0.225,0.323,1.745,Australia,0,0,1,0,0,0,0,1
New Zealand,North America and ANZ,7.029,7.105,6.954,1.81,1.527,0.673,0.746,0.226,0.48,1.567,Australia,0,0,1,0,0,0,0,1
Bosnia and Herzegovina,Central and Eastern Europe,5.877,5.979,5.775,1.465,1.318,0.587,0.621,0.246,0.0,1.64,Europe,1,0,0,0,0,0,0,1
Romania,Central and Eastern Europe,6.491,6.592,6.39,1.699,1.236,0.583,0.717,0.041,0.006,2.21,Europe,1,0,0,0,0,0,0,1
Luxembourg,Western Europe,7.122,7.213,7.031,2.141,1.355,0.708,0.801,0.146,0.432,1.54,Europe,1,0,0,0,0,0,0,1
United Kingdom,Western Europe,6.749,6.833,6.665,1.822,1.326,0.672,0.713,0.267,0.351,1.598,Europe,1,0,0,0,0,0,0,1
Kosovo,Central and Eastern Europe,6.561,6.667,6.455,1.364,1.277,0.599,0.739,0.254,0.073,2.255,Europe,1,0,0,0,0,0,0,1
Slovenia,Central and Eastern Europe,6.743,6.843,6.643,1.786,1.502,0.695,0.789,0.157,0.131,1.683,Europe,1,0,0,0,0,0,0,1
Finland,Western Europe,7.741,7.815,7.667,1.844,1.572,0.695,0.859,0.142,0.546,2.082,Europe,1,0,0,0,0,0,0,1
Austria,Western Europe,6.905,6.986,6.824,1.885,1.336,0.696,0.703,0.214,0.305,1.766,Europe,1,0,0,0,0,0,0,1
Bulgaria,Central and Eastern Europe,5.463,5.569,5.357,1.629,1.469,0.567,0.62,0.083,0.006,1.088,Europe,1,0,0,0,0,0,0,1
Iceland,Western Europe,7.525,7.618,7.433,1.881,1.617,0.718,0.819,0.258,0.182,2.05,Europe,1,0,0,0,0,0,0,1
Slovakia,Central and Eastern Europe,6.257,6.332,6.182,1.706,1.54,0.638,0.566,0.096,0.058,1.653,Europe,1,0,0,0,0,0,0,1
Estonia,Central and Eastern Europe,6.448,6.524,6.371,1.752,1.527,0.657,0.805,0.166,0.401,1.138,Europe,1,0,0,0,0,0,0,1
Switzerland,Western Europe,7.06,7.147,6.973,1.97,1.425,0.747,0.759,0.173,0.498,1.488,Europe,1,0,0,0,0,0,0,1
Latvia,Central and Eastern Europe,6.234,6.314,6.155,1.7,1.508,0.564,0.666,0.127,0.078,1.59,Europe,1,0,0,0,0,0,0,1
Albania,Central and Eastern Europe,5.304,5.44,5.168,1.438,0.924,0.638,0.69,0.138,0.049,1.428,Europe,1,0,0,0,0,0,0,1
Lithuania,Central and Eastern Europe,6.818,6.896,6.739,1.766,1.454,0.598,0.533,0.044,0.116,2.307,Europe,1,0,0,0,0,0,0,1
Hungary,Central and Eastern Europe,6.017,6.124,5.91,1.722,1.528,0.596,0.581,0.123,0.067,1.4,Europe,1,0,0,0,0,0,0,1
Sweden,Western Europe,7.344,7.422,7.267,1.878,1.501,0.724,0.838,0.221,0.524,1.658,Europe,1,0,0,0,0,0,0,1
Belgium,Western Europe,6.894,6.961,6.827,1.868,1.44,0.69,0.729,0.17,0.311,1.686,Europe,1,0,0,0,0,0,0,1
Norway,Western Europe,7.302,7.389,7.215,1.952,1.517,0.704,0.835,0.224,0.484,1.586,Europe,1,0,0,0,0,0,0,1
Serbia,Central and Eastern Europe,6.411,6.522,6.3,1.538,1.391,0.585,0.663,0.2,0.101,1.932,Europe,1,0,0,0,0,0,0,1
Poland,Central and Eastern Europe,6.442,6.513,6.37,1.738,1.417,0.639,0.6,0.081,0.175,1.791,Europe,1,0,0,0,0,0,0,1
Georgia,Commonwealth of Independent States,5.185,5.283,5.087,1.467,0.99,0.524,0.68,0.0,0.174,1.349,Europe,1,0,0,0,0,0,0,1
Ukraine,Commonwealth of Independent States,4.873,4.988,4.758,1.35,1.315,0.513,0.631,0.285,0.025,0.753,Europe,1,0,0,0,0,0,0,1
Spain,Western Europe,6.421,6.502,6.339,1.766,1.471,0.729,0.619,0.119,0.177,1.54,Europe,1,0,0,0,0,0,0,1
North Macedonia,Central and Eastern Europe,5.369,5.468,5.27,1.475,1.277,0.569,0.58,0.194,0.015,1.26,Europe,1,0,0,0,0,0,0,1
Greece,Western Europe,5.934,6.027,5.84,1.684,1.276,0.696,0.337,0.018,0.093,1.83,Europe,1,0,0,0,0,0,0,1
France,Western Europe,6.609,6.685,6.533,1.818,1.348,0.727,0.65,0.112,0.281,1.672,Europe,1,0,0,0,0,0,0,1
Montenegro,Central and Eastern Europe,5.707,5.815,5.599,1.571,1.318,0.587,0.632,0.11,0.132,1.357,Europe,1,0,0,0,0,0,0,1
Italy,Western Europe,6.324,6.436,6.211,1.8,1.328,0.72,0.513,0.112,0.074,1.777,Europe,1,0,0,0,0,0,0,1
Germany,Western Europe,6.719,6.815,6.622,1.871,1.39,0.702,0.7,0.174,0.368,1.513,Europe,1,0,0,0,0,0,0,1
Croatia,Central and Eastern Europe,5.942,6.047,5.837,1.71,1.445,0.637,0.469,0.064,0.043,1.574,Europe,1,0,0,0,0,0,0,1
Azerbaijan,Commonwealth of Independent States,4.893,5.018,4.768,1.433,0.876,0.496,0.668,0.112,0.199,1.11,Middle_East,0,1,0,0,0,0,0,1
Uzbekistan,Commonwealth of Independent States,6.195,6.303,6.087,1.212,1.394,0.539,0.835,0.251,0.215,1.749,Middle_East,0,1,0,0,0,0,0,1
Iraq,Middle East and North Africa,5.166,5.283,5.049,1.249,0.996,0.498,0.425,0.141,0.048,1.809,Middle_East,0,1,0,0,0,0,0,0
Kyrgyzstan,Commonwealth of Independent States,5.714,5.795,5.632,1.054,1.477,0.588,0.834,0.225,0.03,1.505,Middle_East,0,1,0,0,0,0,0,1
Lebanon,Middle East and North Africa,2.707,2.797,2.616,1.377,0.577,0.556,0.173,0.068,0.029,-0.073,Middle_East,0,1,0,0,0,0,0,0
Russia,Commonwealth of Independent States,5.785,5.859,5.712,1.642,1.351,0.531,0.551,0.138,0.121,1.451,Middle_East,0,1,0,0,0,0,0,1
Kazakhstan,Commonwealth of Independent States,6.188,6.278,6.097,1.622,1.457,0.556,0.733,0.149,0.12,1.551,Middle_East,0,1,0,0,0,0,0,1
Jordan,Middle East and North Africa,4.186,4.306,4.066,1.262,0.983,0.594,0.593,0.059,0.189,0.504,Middle_East,0,1,0,0,0,0,0,1
Turkiye,Middle East and North Africa,4.975,5.085,4.866,1.702,1.175,0.631,0.202,0.068,0.115,1.083,Middle_East,0,1,0,0,0,0,0,1
Armenia,Commonwealth of Independent States,5.455,5.56,5.35,1.444,1.154,0.603,0.65,0.051,0.173,1.379,Middle_East,0,1,0,0,0,0,0,1
Israel,Middle East and North Africa,7.341,7.405,7.277,1.803,1.513,0.74,0.641,0.153,0.193,2.298,Middle_East,0,1,0,0,0,0,0,1
Kuwait,Middle East and North Africa,6.951,7.06,6.843,1.845,1.364,0.661,0.827,0.2,0.172,1.884,Middle_East,0,1,0,0,0,0,0,1
United Arab Emirates,Middle East and North Africa,6.733,6.823,6.643,1.983,1.164,0.563,0.815,0.209,0.258,1.741,Middle_East,0,1,0,0,0,0,0,1
Canada,North America and ANZ,6.9,6.984,6.815,1.84,1.459,0.701,0.73,0.23,0.368,1.572,North_America,0,0,0,0,1,0,0,1
United States,North America and ANZ,6.725,6.818,6.631,1.939,1.392,0.542,0.586,0.223,0.169,1.873,North_America,0,0,0,0,1,0,0,1
Paraguay,Latin America and Caribbean,5.977,6.085,5.868,1.398,1.408,0.549,0.788,0.131,0.065,1.637,South_America,0,0,0,1,0,0,0,1
Jamaica,Latin America and Caribbean,5.842,6.059,5.624,1.28,1.324,0.567,0.647,0.089,0.028,1.907,South_America,0,0,0,1,0,0,0,1
Uruguay,Latin America and Caribbean,6.611,6.696,6.527,1.596,1.431,0.592,0.775,0.106,0.22,1.891,South_America,0,0,0,1,0,0,0,1
Ecuador,Latin America and Caribbean,5.725,5.85,5.599,1.315,1.151,0.64,0.606,0.087,0.078,1.846,South_America,0,0,0,1,0,0,0,1
Panama,Latin America and Caribbean,6.358,6.489,6.227,1.702,1.392,0.633,0.72,0.063,0.043,1.806,South_America,0,0,0,1,0,0,0,1
Mexico,Latin America and Caribbean,6.678,6.781,6.575,1.521,1.241,0.544,0.722,0.086,0.127,2.437,South_America,0,0,0,1,0,0,0,1
Honduras,Latin America and Caribbean,5.968,6.114,5.822,1.091,1.035,0.502,0.72,0.175,0.081,2.364,South_America,0,0,0,1,0,0,0,0
Costa Rica,Latin America and Caribbean,6.955,7.051,6.86,1.561,1.373,0.661,0.797,0.109,0.123,2.333,South_America,0,0,0,1,0,0,0,1
Dominican Republic,Latin America and Caribbean,5.823,5.967,5.679,1.517,1.272,0.511,0.73,0.086,0.196,1.512,South_America,0,0,0,1,0,0,0,1
Colombia,Latin America and Caribbean,5.695,5.806,5.584,1.437,1.241,0.648,0.644,0.072,0.059,1.596,South_America,0,0,0,1,0,0,0,1
Nicaragua,Latin America and Caribbean,6.284,6.433,6.135,1.097,1.263,0.542,0.793,0.133,0.251,2.203,South_America,0,0,0,1,0,0,0,1
El Salvador,Latin America and Caribbean,6.469,6.599,6.338,1.265,1.08,0.549,0.816,0.083,0.253,2.424,South_America,0,0,0,1,0,0,0,1
Guatemala,Latin America and Caribbean,6.287,6.457,6.117,1.26,1.169,0.467,0.735,0.105,0.078,2.473,South_America,0,0,0,1,0,0,0,1
Argentina,Latin America and Caribbean,6.188,6.306,6.07,1.562,1.381,0.585,0.681,0.087,0.08,1.812,South_America,0,0,0,1,0,0,0,1
Venezuela,Latin America and Caribbean,5.607,5.725,5.489,0.0,1.321,0.491,0.518,0.192,0.086,2.998,South_America,0,0,0,1,0,0,0,0
